time,lon,lat,depth,mag
2022-09-19T23:55:20.504000Z,-71.7152,-33.3612,35.0,4.0
2022-09-19T15:09:10.913000Z,-78.4725,-10.4287,66.068,4.4
2022-09-19T12:59:14.486000Z,-68.687,-22.263,124.831,4.5
2022-09-18T18:20:56.455000Z,-68.5266,-21.1006,132.362,4.4
2022-09-17T18:21:49.447000Z,-72.2029,-16.2994,106.548,4.1
2022-09-17T15:05:02.020000Z,-69.1793,-20.1765,101.054,4.5
2022-09-17T13:42:37.741000Z,-69.1637,-20.1716,97.995,4.8
2022-09-17T10:50:44.730000Z,-69.8509,-18.4638,121.407,4.4
2022-09-17T03:53:39.167000Z,-69.0383,-21.0741,117.756,4.2
2022-09-16T19:24:24.848000Z,-67.6762,-22.2451,172.195,4.0
2022-09-16T18:55:35.474000Z,-75.8891,-14.995,26.342,4.5
2022-09-16T14:12:59.663000Z,-70.1089,-19.9736,50.743,4.2
2022-09-16T03:02:44.801000Z,-70.378,-20.2941,33.011,3.7
2022-09-15T23:06:38.920000Z,-66.9277,-23.4478,240.098,4.0
2022-09-15T19:29:40.452000Z,-71.4804,-30.611,35.0,4.3
2022-09-15T04:52:00.787000Z,-69.966,-20.1394,49.638,3.1
2022-09-15T03:07:53.589000Z,-66.8794,-24.0056,195.538,4.2
2022-09-14T22:41:13.931000Z,-71.3278,-30.6451,55.103,4.7
2022-09-14T03:34:15.200000Z,-70.6036,-23.0215,36.628,4.5
2022-09-13T19:57:26.919000Z,-70.3416,-24.0192,51.251,4.3
2022-09-13T17:21:54.994000Z,-66.9519,-24.2064,171.9,4.7
2022-09-13T16:01:08.608000Z,-65.8608,-22.8801,348.211,4.3
2022-09-13T03:22:54.783000Z,-76.2825,-14.3125,25.304,4.3
2022-09-13T02:08:31.254000Z,-68.6662,-22.326,106.16,4.3
2022-09-12T23:38:23.864000Z,-68.6782,-22.3003,109.46,4.5
2022-09-12T04:30:03.314000Z,-81.2229,-0.6989,10.0,4.3
